p,z,is_prime,inv_alpha_0_pred,inv_alpha_0_frac_err,inv_alpha_0_ppm,inv_alpha_0_status,inv_alpha_MZ_pred,inv_alpha_MZ_frac_err,inv_alpha_MZ_status,v_EW_GeV_pred,v_EW_GeV_frac_err,v_EW_GeV_status,sin2_theta_W_pred,sin2_theta_W_frac_err,sin2_theta_W_status,m_e_MeV_pred,m_mu_MeV_pred,m_tau_MeV_pred,m_e_frac_err,m_mu_frac_err,m_e_status,m_mu_status,Omega_Lambda_pred,Omega_Lambda_frac_err,Omega_Lambda_status,M_GUT_GeV,alpha_GUT,composite_score,n_observables_scored,runtime_s
104701,6,True,137.02539648813539,7.737088017370002e-05,77.37088017370003,ok,127.94139648813538,8.287101307221588e-05,ok [non-independent of inv_alpha_0],243.46296689025147,0.011197437696972356,ok,0.23122,0.0,ok [CIRCULAR: returns hardcoded exp value],0.5104452743464521,107.19350761275493,1776.8599999999997,0.0010835162255182769,0.014529204196925426,ok [NON-INDEPENDENT: no p/z parameters],ok [NON-INDEPENDENT: no p/z parameters],1.0532592229639985e-104,1.0,"ok [NON-INDEPENDENT: uses cosmological p_cosmo, not substrate p]",6.787393960923967e+17,0.011109171698699263,0.007917973138078849,2,5.052899996371707e-05
104693,6,True,137.02363004581164,9.026123260335045e-05,90.26123260335045,ok,127.93963004581164,9.667652079184522e-05,ok [non-independent of inv_alpha_0],243.45557025019554,0.011227478473740816,ok,0.23122,0.0,ok [CIRCULAR: returns hardcoded exp value],0.5104452743464521,107.19350761275493,1776.8599999999997,0.0010835162255182769,0.014529204196925426,ok [NON-INDEPENDENT: no p/z parameters],ok [NON-INDEPENDENT: no p/z parameters],1.0532592229639985e-104,1.0,"ok [NON-INDEPENDENT: uses cosmological p_cosmo, not substrate p]",6.787523620012452e+17,0.011109454656521866,0.007939282712198391,2,2.4349000000256638e-05
104683,6,True,137.021421819504,0.00010637543852289399,106.37543852289399,ok,127.93742181950401,0.00011393476066015487,ok [non-independent of inv_alpha_0],243.4463239630557,0.011265031422891295,ok,0.23122,0.0,ok [CIRCULAR: returns hardcoded exp value],0.5104452743464521,107.19350761275493,1776.8599999999997,0.0010835162255182769,0.014529204196925426,ok [NON-INDEPENDENT: no p/z parameters],ok [NON-INDEPENDENT: no p/z parameters],1.0532592229639985e-104,1.0,"ok [NON-INDEPENDENT: uses cosmological p_cosmo, not substrate p]",6.787685711290117e+17,0.011109808394343867,0.007965935246179485,2,2.6242999979331216e-05
104681,6,True,137.02098015111926,0.00010959844844513796,109.59844844513796,ok,127.93698015111926,0.00011738658935179194,ok [non-independent of inv_alpha_0],243.44447464067844,0.011272542276507038,ok,0.23121999999999998,1.2003968348598266e-16,ok [CIRCULAR: returns hardcoded exp value],0.5104452743464521,107.19350761275493,1776.8599999999997,0.0010835162255182769,0.014529204196925426,ok [NON-INDEPENDENT: no p/z parameters],ok [NON-INDEPENDENT: no p/z parameters],1.0532592229639985e-104,1.0,"ok [NON-INDEPENDENT: uses cosmological p_cosmo, not substrate p]",6.787718131868257e+17,0.011109879147314903,0.007971267816211549,2,3.0268000045907684e-05
104677,6,True,137.02009679122438,0.00011604463704368232,116.04463704368231,ok,127.93609679122437,0.00012429042746987855,ok [non-independent of inv_alpha_0],243.44077593096932,0.011287564247545592,ok,0.23122,0.0,ok [CIRCULAR: returns hardcoded exp value],0.5104452743464521,107.19350761275493,1776.8599999999997,0.0010835162255182769,0.014529204196925426,ok [NON-INDEPENDENT: no p/z parameters],ok [NON-INDEPENDENT: no p/z parameters],1.0532592229639985e-104,1.0,"ok [NON-INDEPENDENT: uses cosmological p_cosmo, not substrate p]",6.787782975347411e+17,0.011110020658664259,0.007981935009765993,2,2.6598999966154224e-05
104659,6,True,137.01612129007182,0.0001450552705934546,145.0552705934546,ok,127.93212129007182,0.00015536068156948504,ok [non-independent of inv_alpha_0],243.42413066539504,0.011355167470574927,ok,0.23121999999999998,1.2003968348598266e-16,ok [CIRCULAR: returns hardcoded exp value],0.5104452743464521,107.19350761275493,1776.8599999999997,0.0010835162255182769,0.014529204196925426,ok [NON-INDEPENDENT: no p/z parameters],ok [NON-INDEPENDENT: no p/z parameters],1.0532592229639985e-104,1.0,"ok [NON-INDEPENDENT: uses cosmological p_cosmo, not substrate p]",6.788074809337612e+17,0.011110657548972364,0.008029971024740063,2,2.5434999997742125e-05
104651,6,True,137.0143542001845,0.00015795034852286968,157.9503485228697,ok,127.9303542001845,0.00016917125027746487,ok [non-independent of inv_alpha_0],243.41673220648858,0.011385215634438403,ok,0.23122,0.0,ok [CIRCULAR: returns hardcoded exp value],0.5104452743464521,107.19350761275493,1776.8599999999997,0.0010835162255182769,0.014529204196925426,ok [NON-INDEPENDENT: no p/z parameters],ok [NON-INDEPENDENT: no p/z parameters],1.0532592229639985e-104,1.0,"ok [NON-INDEPENDENT: uses cosmological p_cosmo, not substrate p]",6.788204533472617e+17,0.01111094065821342,0.008051337881223815,2,2.6174000026912836e-05
104639,6,True,137.0117033339699,0.00017729465390476715,177.29465390476716,ok,127.9277033339699,0.0001898889117020172,ok [non-independent of inv_alpha_0],243.40563386827645,0.011430290519549776,ok,0.23122,0.0,ok [CIRCULAR: returns hardcoded exp value],0.5104452743464521,107.19350761275493,1776.8599999999997,0.0010835162255182769,0.014529204196925426,ok [NON-INDEPENDENT: no p/z parameters],ok [NON-INDEPENDENT: no p/z parameters],1.0532592229639985e-104,1.0,"ok [NON-INDEPENDENT: uses cosmological p_cosmo, not substrate p]",6.788399142919178e+17,0.011111365376184769,0.008083408153607384,2,2.622799996743197e-05
104623,6,True,137.00816841367333,0.00020309021361317991,203.0902136131799,ok,127.92416841367333,0.00021751583661583894,ok [non-independent of inv_alpha_0],243.39083487071213,0.011490395293996722,ok,0.23122,0.0,ok [CIRCULAR: returns hardcoded exp value],0.5104452743464521,107.19350761275493,1776.8599999999997,0.0010835162255182769,0.014529204196925426,ok [NON-INDEPENDENT: no p/z parameters],ok [NON-INDEPENDENT: no p/z parameters],1.0532592229639985e-104,1.0,"ok [NON-INDEPENDENT: uses cosmological p_cosmo, not substrate p]",6.788658665581359e+17,0.011111931767845177,0.00812620543818477,2,2.7027999976780848e-05
104597,6,True,137.00242311482077,0.0002450156849562097,245.0156849562097,ok,127.91842311482077,0.0002624178221460354,ok [non-independent of inv_alpha_0],243.3667835414785,0.011588077566897496,ok,0.23121999999999998,1.2003968348598266e-16,ok [CIRCULAR: returns hardcoded exp value],0.5104452743464521,107.19350761275493,1776.8599999999997,0.0010835162255182769,0.014529204196925426,ok [NON-INDEPENDENT: no p/z parameters],ok [NON-INDEPENDENT: no p/z parameters],1.0532592229639985e-104,1.0,"ok [NON-INDEPENDENT: uses cosmological p_cosmo, not substrate p]",6.789080495736099e+17,0.011112852400657567,0.008195839626978665,2,3.204399996548091e-05
