p,M_gut_GeV,inv_alpha_gut_BPR,inv_a3_SM_at_gut,ratio_BPR_SM,alpha_s_BPR,alpha_s_exp,alpha_s_err_pct,sin2_tw_BPR,sin2_tw_exp,sin2_tw_err_pct,SM_spread_at_gut,is_baseline
105071,6.781410723630364e+17,90.12162201075573,49.196223061923654,1.8318809128359095,0.02023998011881135,0.1179,82.83292610787841,0.2740413411518286,0.23122,18.519739275075075,14.023100112405267,0
105097,6.780991270557661e+17,90.12905498124132,49.1961541499109,1.83203456730783,0.020236907388226158,0.1179,82.83553232550793,0.27404914559277066,0.23122,18.52311460633624,14.02299083764219,0
105107,6.78082997698978e+17,90.13191348962035,49.196127649829975,1.8320936584920795,0.020235725952704505,0.1179,82.83653439125996,0.2740521466404432,0.23122,18.524412525059763,14.02294881608529,0
105137,6.780346211355281e+17,90.1404879270599,49.196048164712025,1.8322709097540282,0.020232182925095137,0.1179,82.8395395037361,0.2740611475832337,0.23122,18.52830532965733,14.022822775398254,0
105143,6.780249478934029e+17,90.14220261880985,49.19603227041011,1.8323063559950463,0.02023147454968184,0.1179,82.84014033105866,0.27406294737588216,0.23122,18.529083719350467,14.022797571576646,0
105167,6.779862618238322e+17,90.14906073355657,49.19596870227128,1.8324481275921,0.02022864181460793,0.1179,82.84254299015443,0.27407014522734646,0.23122,18.532196707614588,14.022696770670784,0
105173,6.779765920307292e+17,90.15077509921102,49.19595281250326,1.8324835671502433,0.02022793382241689,0.1179,82.84314349243691,0.2740719443605158,0.23122,18.532974812090558,14.02267157403864,0
105199,6.779346975608168e+17,90.15820326369844,49.19588396731523,1.8326371231300114,0.02022486674128532,0.1179,82.84574491833307,0.2740797390809315,0.23122,18.536345939335465,14.022562405240485,0
105211,6.779153660167131e+17,90.16163123451108,49.1958521983517,1.8327079866609552,0.020223451650234415,0.1179,82.84694516519558,0.2740833358095693,0.23122,18.537901483249406,14.022512028741176,0
105227,6.778895949114303e+17,90.16620145682202,49.19580984536968,1.8328024630599404,0.020221565338265267,0.1179,82.84854509052988,0.27408813062808335,0.23122,18.539975187303583,14.022444869012539,0
105229,6.778863738676756e+17,90.16677270203611,49.19580455169974,1.8328142719422365,0.02022132958751586,0.1179,82.8487450487567,0.27408872991454547,0.23122,18.54023437183006,14.02243647476449,0
105239,6.778702697966931e+17,90.16962881954,49.195778084859114,1.8328733141287854,0.020220150961223114,0.1179,82.849744731787,0.2740917261273934,0.23122,18.541530199547356,14.022394505917212,0
105251,6.778509474362207e+17,90.17305592172849,49.195746327969864,1.8329441598584162,0.02021873689000562,0.1179,82.85094411365088,0.2740953211000761,0.23122,18.543084984030838,14.022344148564265,0
105253,6.778477273105349e+17,90.17362708010081,49.19574103550701,1.8329559669610023,0.020218501241194776,0.1179,82.8511439854158,0.27409592021099954,0.23122,18.543344092638844,14.022335756230305,0
105263,6.778316278293066e+17,90.17648276343705,49.19571457470113,1.8330150002498442,0.020217323124505387,0.1179,82.85214323621256,0.27409891554626775,0.23122,18.544639540812966,14.022293796952404,0
105269,6.778219690582132e+17,90.17819608662681,49.19569869942418,1.8330504184440484,0.0202166163563657,0.1179,82.85274270028354,0.27410071257197205,0.23122,18.54541673383446,14.022268623298949,0
105277,6.778090917671562e+17,90.18048041627868,49.195677533795724,1.8330976406276307,0.02021567411767124,0.1179,82.85354188492686,0.2741031084015805,0.23122,18.54645290268163,14.022235060659547,0
105319,6.777415060511217e+17,90.19247124874022,49.195566440627076,1.8333455181899634,0.02021072959128025,0.1179,82.85773571562319,0.27411568267111786,0.23122,18.55189113014352,14.022058898634981,0
105323,6.777350710733998e+17,90.19361306651213,49.19555586263596,1.8333691221693096,0.02021025887900837,0.1179,82.85813496267313,0.2741168798846297,0.23122,18.552408911266184,14.022042124963356,0
105331,6.777222020343718e+17,90.19589661533006,49.19553470785889,1.833416328350659,0.02020931755615198,0.1179,82.85893337052418,0.27411927413643356,0.23122,18.553444397730967,14.022008579531146,0
105337,6.777125510568614e+17,90.19760920106552,49.195518842830474,1.8334517314316423,0.02020861165297054,0.1179,82.85953210095798,0.2741210696719892,0.23122,18.55422094628024,14.02198342212894,0
105341,6.777061174535963e+17,90.19875088876022,49.195508266646904,1.8334753327452111,0.020208141093204467,0.1179,82.85993121865609,0.27412226662270367,0.23122,18.554738613746068,14.02196665132356,0
105359,6.776771700173955e+17,90.20388812576272,49.19546067879005,1.8335815313271961,0.020206023993456012,0.1179,82.861726892743,0.27412765217847007,0.23122,18.55706780489147,14.021891190579119,0
105361,6.776739540171959e+17,90.20445889375507,49.19545539175227,1.8335933304294214,0.020205788802484054,0.1179,82.86192637617977,0.27412825050059325,0.23122,18.55732657235241,14.021882806847785,0
105367,6.776643064744335e+17,90.20617115439526,49.19543953124106,1.8336287268479585,0.0202050832803554,0.1179,82.86252478341358,0.2741300453794246,0.23122,18.558102836875953,14.021857656608582,0
105373,6.776546596183566e+17,90.20788335003489,49.19542367163298,1.8336641219343839,0.020204377834397227,0.1179,82.86312312604137,0.2741318401269621,0.23122,18.55887904461643,14.021832507801484,0
105379,6.776450134488773e+17,90.20959548068015,49.19540781292793,1.8336995156888243,0.020203672464596163,0.1179,82.86372140407451,0.27413363474322266,0.23122,18.559655195581115,14.021807360426344,0
105389,6.776289380252785e+17,90.21244888734037,49.19538138375931,1.8337585023199328,0.020202497017462823,0.1179,82.86471839061677,0.2741366254786433,0.23122,18.560948654373888,14.0217654513161,0
105397,6.77616079059145e+17,90.2147314827113,49.19536024222995,1.8338056889614922,0.020201556812002152,0.1179,82.86551585071912,0.2741390178045127,0.23122,18.561983307894085,14.021731926890965,0
105401,6.776096500335886e+17,90.21587273708272,49.19534967206703,1.8338292813945993,0.020201086760009604,0.1179,82.8659145377357,0.27414021387997217,0.23122,18.562500596822144,14.02171516563262,0
105407,6.776000070670685e+17,90.2175845645024,49.19533381757476,1.8338646689347733,0.020200381745431907,0.1179,82.86651251447677,0.27414200788383164,0.23122,18.563276482930384,14.02169002493774,0
105437,6.775518025242016e+17,90.22614272733247,49.19525455864808,1.8340415866690851,0.020196857813499135,0.1179,82.86950143045027,0.2741509759357563,0.23122,18.567155062605448,14.02156434292543,0
105449,6.77532525507291e+17,90.22956553792092,49.195222861391656,1.8341123444474312,0.020195448772923254,0.1179,82.87069654544254,0.2741545622387355,0.23122,18.568706097541522,14.021514080133102,0
105467,6.775036151228407e+17,90.23469926694652,49.19517532226973,1.8342184711373306,0.02019333578193781,0.1179,82.87248873457352,0.2741599407102807,0.23122,18.571032224842448,14.02143869666834,0
105491,6.77465077536265e+17,90.24154333043934,49.19511194939325,1.8343599547709197,0.020190519523837918,0.1179,82.87487741828845,0.2741671101715947,0.23122,18.574132934691924,14.021338205392773,0
105499,6.774522341094461e+17,90.24382445425704,49.195090828305005,1.8344071112545672,0.020189581041029227,0.1179,82.87567341727802,0.2741694995264018,0.23122,18.575166303261735,14.021304713381411,0
105503,6.774458128525523e+17,90.24496497292161,49.19508026836148,1.834430688610143,0.02018911185021177,0.1179,82.87607137386618,0.2741706941165221,0.23122,18.575682949797642,14.02128796832811,0
