p,best_z,best_score_core,mean_score_core,min_score_core,n_s_pred,n_s_sigma
62131,10,0.051937631328723095,0.1459693063773004,0.051937631328723095,0.9621276886309952,0.660074135477333
99761,6,0.022009160692468326,0.123030575185116,0.022009160692468326,0.9676576930574152,0.6565935850988678
99767,6,0.02199144755328522,0.12303418014208473,0.02199144755328522,0.9676583414272233,0.6567479588626929
99787,6,0.021932410875124434,0.12304620037220078,0.021932410875124434,0.9676605022844844,0.6572624486867701
99793,6,0.02191470200964543,0.12304980755019573,0.02191470200964543,0.967661150429061,0.6574167688240474
99809,6,0.02186748319916925,0.12305942918464026,0.02186748319916925,0.9676628785606064,0.657828228715814
99817,6,0.02184387643152952,0.12306424135820797,0.02184387643152952,0.9676637424878701,0.6580339256833683
99823,6,0.021826172510899383,0.12306785108024268,0.021826172510899383,0.9676643903727344,0.6581881839843953
99829,6,0.02180846958101586,0.12307146130870761,0.02180846958101586,0.9676650382056782,0.6583424299233795
99833,6,0.021796668178469997,0.12307386840864555,0.021796668178469997,0.9676654700654661,0.6584452536824107
99839,6,0.02177896690115929,0.12307747947941299,0.02177896690115929,0.9676661178118916,0.6585994790218148
99859,6,0.02171996981377488,0.12308952002001966,0.02171996981377488,0.9676682765918423,0.6591134742481695
99871,6,0.02168457686317083,0.1230967470221877,0.02168457686317083,0.9676695715831184,0.6594218055043841
99877,6,0.021666881880938786,0.12310036127395518,0.021666881880938786,0.9676702190009592,0.6595759526093323
99881,6,0.021655085779523076,0.12310277105264202,0.021655085779523076,0.9676706505840442,0.6596787104867246
99901,6,0.021596111920172707,0.12311482326767557,0.021596111920172707,0.9676728081538438,0.6601924175818672
99907,6,0.021578421925121292,0.12311844000895421,0.021578421925121292,0.9676734553124816,0.6603465029718172
99929,6,0.021513567164311423,0.12313170562822845,0.021513567164311423,0.9676758277842034,0.6609113771912803
99961,6,0.021419257014118554,0.12315101289333312,0.021419257014118554,0.9676792774092463,0.661732716487221
99971,6,0.02138979095029442,0.12315704927091754,0.02138979095029442,0.9676803551151251,0.6619893131250211
99991,6,0.021330867209971936,0.12316912608675894,0.021330867209971936,0.9676825100957374,0.6625024037469949
100003,6,0.021295518341818347,0.12317637476603224,0.021295518341818347,0.967683802808262,0.6628101924433502
100043,6,0.021177717978146486,0.12320055097491206,0.021177717978146486,0.9676881103566993,0.6638357992141303
100049,6,0.021160051806078644,0.12320417924777609,0.021160051806078644,0.9676887562909033,0.6639895930722287
100069,6,0.021101171898649927,0.12321627694149954,0.021101171898649927,0.9676909090319483,0.6645021504638907
100109,6,0.020983446011765196,0.123240488170728,0.020983446011765196,0.9676952127935298,0.6655268556023307
100151,6,0.020859882707178146,0.12326593250804838,0.020859882707178146,0.9676997292762164,0.6666022086229552
100183,6,0.020765772992244014,0.123285334031532,0.020765772992244014,0.96770316871116,0.667421121704772
100193,6,0.020736369713157045,0.12329139971415146,0.020736369713157045,0.9677042432341918,0.6676769605218611
100237,6,0.020607029383818653,0.12331810392582764,0.020607029383818653,0.9677089694373268,0.6688022469825669
100279,6,0.020483620199887767,0.12334361725715501,0.020483620199887767,0.9677134782333549,0.669875769846398
100313,6,0.020383754940790613,0.12336428717158386,0.020383754940790613,0.9677171263673154,0.6707443731703474
100357,6,0.020254567490205048,0.12339105787923149,0.020254567490205048,0.9677218450352757,0.6718678655418373
