p,z,inv_alpha_0_pred,inv_alpha_0_frac_err,inv_alpha_0_sigma,v_EW_pred,v_EW_frac_err,v_EW_sigma,n_s_pred,n_s_frac_err,n_s_sigma,delta_cp_pred,delta_cp_frac_err,delta_cp_sigma,score_core,score_all,score_core_sigma
30097,3,108.259133119874,0.20999493677925046,1370326950.6726668,116.82222942532195,0.52553720483583,6469.888528733903,0.9517774480494482,0.013599908747592275,3.1244171310837587,1.0707963267948966,0.10468534548921689,2.7823038490022975,0.40017947669738047,0.2878503110202063,968967479.2741264
30097,4,108.759133119874,0.20634626049460855,1346517426.863143,127.14934775183976,0.48359455872049484,5953.532612408012,0.9517774480494482,0.013599908747592275,3.1244171310837587,1.1235827312949387,0.0605495557734626,1.6092726378902504,0.3717811698056929,0.26471384676027315,952131603.530096
30097,5,109.259133119874,0.20269758420996667,1322707903.0536191,137.47646607835756,0.4416519126051598,5437.176696082121,0.9517774480494482,0.013599908747592275,3.1244171310837587,1.1625480363310334,0.02796986928843355,0.7433769704214783,0.343615135400314,0.2434697073859021,935295727.7861546
30097,6,109.759133119874,0.19904890792532476,1298898379.2440953,147.80358440487535,0.39970926648982474,4920.820779756233,0.9517774480494482,0.013599908747592275,3.1244171310837587,1.1928318537856692,0.0026489516842229956,0.07040324920734894,0.3157435394937624,0.22337185360238784,918459852.0423068
30097,7,110.259133119874,0.19540023164068285,1275088855.4345715,158.13070273139314,0.3577666203744897,4404.464863430343,0.9517774480494482,0.013599908747592275,3.1244171310837587,1.2172429362016228,0.017761652342494043,0.4720652489249528,0.288251804139555,0.20413147662186693,901623976.2985579
30097,8,110.759133119874,0.19175155535604096,1251279331.6250477,168.45782105791096,0.31582397425915454,3888.1089471044515,0.9517774480494482,0.013599908747592275,3.1244171310837587,1.2374629934615633,0.03466805473374862,0.9213998547014077,0.2612598722520433,0.1856746302239976,884788100.5549135
30097,9,111.259133119874,0.18810287907139905,1227469807.815524,178.78493938442875,0.27388132814381955,3371.7530307785623,0.9517774480494482,0.013599908747592275,3.1244171310837587,1.2545685607780586,0.048970368543527265,1.3015235728457468,0.23494007216817223,0.1680600558833089,867952224.8113799
30097,10,111.759133119874,0.18445420278675714,1203660284.0060003,189.11205771094654,0.2319386820284845,2855.3971144526727,0.9517774480494482,0.013599908747592275,3.1244171310837587,1.2692849822171328,0.06127506874342213,1.6285551603807304,0.2095458245191354,0.15145832489026687,851116349.0679634
30097,11,112.259133119874,0.18080552650211526,1179850760.1964765,199.43917603746436,0.18999603591314937,2339.0411981267816,0.9517774480494482,0.013599908747592275,3.1244171310837587,1.2821211922000837,0.07200768578602319,1.9138042711129721,0.18545772035213018,0.13616093089302392,834280473.3246711
30097,12,112.759133119874,0.17715685021747335,1156041236.3869526,209.76629436398215,0.14805338979781432,1822.6852818008922,0.9517774480494482,0.013599908747592275,3.1244171310837587,1.2934462286822819,0.08147677983468389,2.165471748495154,0.16325494756606895,0.12260483165415242,817444597.5815108
30103,2,107.76324432803877,0.2136136121284283,1393940702.6648204,106.50424611962049,0.5674427499000061,6985.787694018975,0.9517806520992866,0.013596588144588393,3.1236542620746053,0.9934460576052707,0.16935948360763314,4.501198719882872,0.4287318799090146,0.3148370815190188,985664923.4386133
30103,3,108.26324432803877,0.2099649358437864,1370131178.8552966,116.8320506562022,0.5254973168052871,6469.3974671898895,0.9517806520992866,0.013596588144588393,3.1236542620746053,1.0707963267948966,0.10468534548921689,2.7823038490022975,0.40014541372696105,0.28782659407306854,968829047.6944985
