p,inv_alpha_pred,inv_alpha_err_ppm,v_EW_pred,v_EW_err_pct,core_score_pct,n_s_pred,n_s_sigma,dist_from_lo,dist_from_hi,is_baseline,curvature,robustness,classification
107449,137.62499364,4298.101,245.983505,0.09605,0.311418,0.96844822,0.8448,0.52456,0.47544,0,2.501e-09,0.00313395,RMS-optimal|robust-interior|robust
107453,137.62585616,4304.395,245.987145,0.094572,0.311626,0.96844862,0.8449,0.52515,0.47485,0,2.49e-09,0.00313682,RMS-optimal|robust-interior|robust
107033,137.53513129,3642.344,245.604497,0.249981,0.312376,0.9684074,0.8351,0.46246,0.53754,0,2.499e-09,0.0031443,RMS-optimal|robust-interior|robust
107467,137.62887473,4326.423,245.999884,0.089398,0.312387,0.96844999,0.8452,0.52724,0.47276,0,2.479e-09,0.00313682,RMS-optimal|robust-interior|robust
107473,137.6301683,4335.862,246.005343,0.087181,0.312728,0.96845057,0.8454,0.52814,0.47186,0,2.453e-09,0.0031458,RMS-optimal|robust-interior|robust
107021,137.53253437,3623.393,245.59355,0.254427,0.313068,0.96840622,0.8348,0.46067,0.53933,0,2.472e-09,0.00315091,RMS-optimal|robust-interior|robust
106993,137.52647387,3579.167,245.568006,0.264801,0.314821,0.96840346,0.8342,0.45649,0.54351,0,2.446e-09,0.00316375,RMS-optimal|robust-interior|robust
107507,137.63749727,4389.344,246.036276,0.074618,0.314826,0.9684539,0.8462,0.53321,0.46679,0,2.432e-09,0.00317118,RMS-optimal|robust-interior|robust
107509,137.63792832,4392.49,246.038095,0.073879,0.314959,0.9684541,0.8462,0.53351,0.46649,0,2.385e-09,0.00317118,RMS-optimal|robust-interior|robust
106979,137.52344307,3557.051,245.555232,0.269989,0.315769,0.96840209,0.8338,0.4544,0.5456,0,2.417e-09,0.00318136,RMS-optimal|robust-interior|robust
106963,137.51997886,3531.771,245.540632,0.275919,0.316911,0.96840051,0.8335,0.45201,0.54799,0,2.401e-09,0.00318462,RMS-optimal|robust-interior|robust
106961,137.5195458,3528.611,245.538807,0.27666,0.317058,0.96840031,0.8334,0.45171,0.54829,0,2.389e-09,0.00318462,RMS-optimal|robust-interior|robust
106957,137.51867966,3522.29,245.535157,0.278143,0.317355,0.96839992,0.8333,0.45111,0.54889,0,2.381e-09,0.0031898,RMS-optimal|robust-interior|robust
106949,137.51694729,3509.649,245.527857,0.281108,0.317961,0.96839913,0.8331,0.44992,0.55008,0,2.368e-09,0.00319977,RMS-optimal|robust-interior|robust
107563,137.64956389,4477.399,246.08721,0.053931,0.318888,0.96845938,0.8475,0.54157,0.45843,0,2.343e-09,0.00323646,RMS-optimal|robust-interior|robust
106937,137.51434851,3490.684,245.516905,0.285556,0.318897,0.96839795,0.8328,0.44813,0.55187,0,2.348e-09,0.00320928,RMS-optimal|robust-interior|robust
106921,137.51088306,3465.396,245.502302,0.291487,0.320198,0.96839637,0.8325,0.44574,0.55426,0,2.323e-09,0.00322606,RMS-optimal|robust-interior|robust
107581,137.65344122,4505.693,246.103579,0.047283,0.32035,0.96846113,0.8479,0.54426,0.45574,0,2.29e-09,0.00325467,RMS-optimal|robust-interior|robust
